Polarization of Light 'Brewsters' Data File Thu, Mar 14, 2024 11:07 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	4.15590
180.00000	4.16106
180.00000	4.15977
180.00000	4.16396
180.00000	4.16686
180.00000	4.16863
180.00000	4.16992
180.00000	4.16928
180.00000	2.49817
180.00000	0.60384
180.00000	0.47160
180.00000	0.38606
180.00000	0.37495
180.00000	0.38236
180.00000	0.40169
180.00000	0.41457
180.00000	0.43567
180.00000	0.45388
180.00000	0.45291
180.00000	0.45291
180.00000	0.45807
180.00000	0.44035
180.00000	0.44051
180.00000	0.41570
180.00000	0.40749
180.00000	0.41361
180.00000	0.43922
180.00000	0.45404
180.00000	0.50816
180.00000	0.59853
180.00000	0.96257
180.01667	1.89604
180.01667	4.15800
180.01667	4.16299
180.01667	4.16525
180.01667	4.16815
180.01667	4.17073
180.01667	4.17346
180.01667	4.17024
180.03333	4.17153
180.31667	0.77024
180.60000	0.71096
180.81667	0.84482
180.91667	1.24060
180.96667	0.86399
181.01667	0.61174
181.10000	0.41634
181.16667	0.37060
181.30000	0.46419
181.45000	0.71773
181.58333	1.48915
181.71667	2.94293
181.81667	2.57952
181.90000	4.16331
182.05000	4.17089
182.20000	4.16863
182.36667	2.65136
182.48333	1.69614
182.60000	1.33789
182.70000	1.28393
182.78333	1.14894
182.86667	0.98609
182.93333	1.04344
183.03333	1.26283
183.11667	1.32018
183.21667	2.07114
183.30000	4.17040
183.35000	4.17507
183.36667	4.17749
183.40000	4.17685
183.45000	4.17765
183.53333	4.17733
183.61667	4.17749
183.68333	4.18281
183.75000	4.17991
183.81667	4.18152
183.88333	4.18184
183.95000	4.18619
184.01667	4.18619
184.08333	4.18506
184.16667	4.18426
184.23333	4.18732
184.30000	4.18667
184.36667	4.18828
184.43333	4.18909
184.48333	4.18410
184.56667	4.18812
184.63333	4.18973
184.71667	4.18893
184.76667	4.19070
184.81667	4.18925
184.86667	4.19247
184.90000	4.18941
184.95000	4.18538
184.98333	4.19038
185.01667	4.19279
185.08333	4.19167
185.15000	4.18925
185.28333	4.19038
185.41667	4.19118
185.56667	4.18651
185.66667	4.19489
185.75000	4.18973
185.81667	4.18925
185.90000	4.19360
185.98333	4.19199
186.08333	4.19360
186.15000	3.52879
186.25000	2.30954
186.36667	1.39170
186.50000	0.87994
186.60000	0.60111
186.68333	0.52942
186.75000	0.52250
186.81667	0.51895
186.90000	3.32003
187.01667	4.17878
187.10000	4.18474
187.20000	4.18587
187.28333	4.18490
187.38333	4.18716
187.46667	4.18619
187.55000	4.18796
187.61667	4.18699
187.66667	4.18861
187.71667	4.18555
187.78333	4.18796
187.85000	4.19118
187.93333	4.19118
188.03333	4.19102
188.11667	4.19070
188.21667	4.18941
188.28333	4.19151
188.35000	4.18828
188.41667	4.19392
188.51667	4.19457
188.61667	4.19215
188.70000	4.18989
188.76667	4.19006
188.81667	4.19328
188.86667	4.19247
188.93333	4.19199
188.98333	4.19102
189.03333	3.18890
189.06667	2.42263
189.11667	1.83725
189.15000	1.46885
189.18333	0.97272
189.23333	0.77894
189.26667	0.62688
189.30000	0.57308
189.33333	0.56841
189.40000	0.85078
189.46667	1.73335
189.50000	4.17894
189.55000	4.18087
189.58333	4.18232
189.61667	4.18265
189.66667	4.18651
189.71667	4.19118
189.76667	4.18538
189.83333	4.19006
189.90000	4.18410
190.00000	4.19102
190.06667	4.18989
190.15000	4.19102
190.18333	4.18780
190.23333	4.18989
