Polarization of Light 'Brewsters' Data File Thu, Mar 21, 2024 10:51 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	1.13090
180.00000	1.12382
180.00000	0.80439
180.00000	0.70661
180.00000	1.77266
180.00000	1.98641
180.00000	1.98480
180.00000	1.98094
180.00000	1.98013
180.00000	1.98094
180.00000	1.98400
180.00000	1.81969
180.00000	-0.00102
180.00000	0.71080
180.00000	1.96644
180.00000	1.97320
180.00000	1.96467
180.00000	0.58419
180.00000	0.00027
180.00000	-0.00231
180.00000	-0.00070
180.00000	-0.00102
180.00000	0.00027
180.00000	-0.00198
180.00000	-0.00086
180.00000	-0.00053
180.00000	-0.00037
180.00000	-0.00150
180.00000	0.00075
180.00000	1.13606
180.00000	1.62688
180.00000	0.53184
180.00000	0.41506
180.00000	0.43616
180.00000	1.00478
180.00000	1.66425
180.00000	2.11786
180.00000	1.87220
180.00000	0.02476
180.00000	0.00172
180.00000	0.00269
180.00000	0.00430
180.00000	0.00124
180.00000	0.00365
180.00000	0.00140
180.00000	0.00220
180.00000	0.00365
180.00000	0.00365
180.00000	0.00494
180.00000	0.00365
180.00000	0.00591
180.00000	0.02798
180.00000	0.03861
180.01667	0.00526
180.06667	0.00398
180.20000	0.00317
180.36667	0.00140
180.51667	0.00462
180.66667	0.00832
180.81667	0.26525
180.96667	0.21064
181.11667	0.24447
181.28333	0.08677
181.43333	0.06793
181.56667	0.15120
181.76667	0.25220
182.01667	0.85255
182.30000	1.46789
182.55000	1.54021
182.71667	1.46579
182.85000	1.21821
182.98333	0.92101
183.15000	0.50365
183.33333	0.29763
183.51667	0.10900
183.65000	0.02943
183.80000	0.01960
183.91667	0.01171
184.03333	0.00543
184.20000	0.00301
184.36667	0.00333
184.53333	0.00156
184.70000	0.01348
184.86667	0.07598
185.01667	0.08822
185.16667	0.06567
185.28333	0.04618
185.46667	0.05713
185.66667	0.17730
185.85000	0.62849
185.98333	0.73835
186.10000	0.62913
186.25000	0.42537
186.41667	0.32501
186.63333	0.23078
186.85000	0.30504
187.05000	0.36560
187.25000	0.39057
187.40000	0.46386
187.60000	0.62205
187.81667	0.73947
188.06667	0.89605
188.30000	1.01766
188.55000	1.10304
188.75000	1.13461
188.95000	1.19469
189.18333	1.15716
189.51667	1.14766
189.83333	0.95597
190.08333	0.70984
190.30000	0.46032
190.51667	0.23787
190.78333	0.08903
191.10000	0.12624
191.45000	0.27653
191.80000	0.53861
192.06667	0.59047
192.28333	0.65668
192.46667	0.81228
192.66667	0.83677
192.96667	0.84160
193.33333	0.86190
193.68333	0.62720
193.95000	0.45275
194.13333	0.24415
194.30000	0.19615
194.45000	0.18551
194.66667	0.26573
194.93333	0.46757
195.20000	0.53764
195.48333	0.59015
195.71667	0.66280
195.95000	0.64395
196.21667	0.65684
196.53333	0.69534
196.85000	0.83032
197.15000	0.88493
197.43333	0.92730
197.73333	0.92681
197.96667	0.91312
198.18333	0.85916
198.50000	0.67987
198.93333	0.68374
199.41667	0.82839
199.86667	0.85191
200.25000	0.84933
200.55000	0.83564
200.80000	0.82066
201.01667	0.80326
201.26667	0.77072
201.50000	0.72079
201.73333	0.57855
201.96667	0.36657
202.23333	0.25478
202.56667	0.28845
202.90000	0.27427
203.23333	0.26493
203.51667	0.24222
203.75000	0.28828
204.00000	0.52121
204.26667	0.55053
204.58333	0.62607
204.88333	0.65587
205.18333	0.65426
205.38333	0.65507
205.58333	0.66071
205.81667	0.66844
206.11667	0.64540
206.43333	0.62189
206.71667	0.57952
206.95000	0.51009
207.15000	0.41667
207.36667	0.46483
207.61667	0.53152
207.86667	0.57759
208.11667	0.55906
208.36667	0.51750
208.63333	0.47095
208.91667	0.47611
209.21667	0.53410
209.48333	0.54988
209.70000	0.53909
209.86667	0.53571
210.03333	0.53007
210.21667	0.53683
210.41667	0.54118
210.66667	0.52572
210.93333	0.49850
211.20000	0.50204
211.43333	0.51090
211.65000	0.52218
211.80000	0.52475
211.96667	0.52201
212.13333	0.51122
212.31667	0.50639
212.51667	0.50607
212.73333	0.49076
212.96667	0.47611
213.21667	0.37688
213.45000	0.28796
213.68333	0.12559
213.90000	0.27765
214.05000	0.41377
214.23333	0.46950
214.43333	0.46564
214.61667	0.44470
214.78333	0.42392
214.93333	0.40523
215.11667	0.39444
215.33333	0.30697
215.58333	0.18761
215.80000	0.08403
215.98333	0.00688
216.16667	-0.00005
216.35000	-0.00005
216.53333	-0.00053
216.78333	0.00140
216.95000	-0.00037
217.13333	0.00494
217.31667	0.06164
217.56667	0.07453
217.81667	0.11883
218.03333	0.10385
218.26667	0.07872
218.50000	0.07550
218.75000	0.05633
219.01667	0.01300
219.30000	0.00752
219.63333	0.04312
219.95000	0.07485
220.16667	0.14605
220.31667	0.19228
220.46667	0.21129
220.60000	0.17988
220.73333	0.13800
220.95000	0.06277
221.16667	0.05149
221.40000	0.15443
221.60000	0.24785
221.80000	0.30359
221.98333	0.32791
222.13333	0.33435
222.28333	0.33822
222.43333	0.33564
222.55000	0.33629
222.66667	0.33806
222.81667	0.33162
222.98333	0.32662
223.16667	0.31825
223.40000	0.29972
223.63333	0.26783
223.85000	0.23980
224.05000	0.24077
224.26667	0.23577
224.53333	0.19566
224.83333	0.13526
225.15000	0.06519
225.43333	0.03796
225.73333	0.00188
226.08333	0.03072
226.43333	0.11303
226.76667	0.22981
227.03333	0.27234
227.26667	0.27411
227.48333	0.27669
227.68333	0.27556
227.90000	0.27363
228.11667	0.27330
228.31667	0.26702
228.56667	0.26718
