Polarization of Light 'Brewsters' Data File Thu, Mar 21, 2024 10:56 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	-0.00198
180.00000	-0.00102
180.00000	-0.00150
180.00000	0.51879
180.00000	0.69147
180.00000	0.69566
180.00000	0.83049
180.00000	0.79859
180.00000	0.83306
180.00000	0.81212
180.00000	0.85384
180.00000	1.06873
180.00000	1.01750
180.00000	1.00913
180.00000	1.01879
180.00000	1.02137
180.00000	1.01090
180.00000	1.01122
180.00000	1.01444
180.00000	1.00123
180.00000	0.99092
180.01667	0.99833
180.01667	0.99624
180.01667	0.99527
180.00000	-0.00166
180.00000	-0.00070
180.00000	-0.00150
180.00000	-0.00150
180.00000	-0.00102
180.00000	0.67343
180.00000	1.08403
180.00000	1.07259
180.00000	1.05584
180.00000	1.07904
180.00000	1.05278
180.00000	1.06534
180.00000	0.94630
180.00000	0.91425
180.00000	0.87221
180.00000	0.75607
180.00000	0.53490
180.00000	0.34627
180.00000	0.00220
180.00000	0.00124
180.00000	-0.00086
180.00000	0.00043
180.00000	0.00108
180.00000	-0.00053
180.00000	0.00011
180.00000	0.00011
180.00000	0.00011
180.00000	0.02701
180.00000	0.20613
180.00000	0.22756
180.00000	0.24785
180.00000	0.26138
180.00000	0.22756
180.00000	0.19921
180.00000	0.20339
180.00000	0.20484
180.00000	0.23722
180.00000	0.51992
180.00000	0.58580
180.00000	0.62237
180.00000	0.80568
180.00000	0.77056
180.00000	0.80584
180.00000	0.80793
180.00000	0.80101
180.00000	0.52363
180.00000	0.25655
180.00000	0.02153
180.01667	0.00027
180.01667	-0.00247
180.01667	-0.00134
180.01667	-0.00021
180.18333	0.00059
180.65000	-0.00021
181.06667	-0.00037
181.30000	0.00043
181.48333	0.00092
181.71667	-0.00053
182.00000	0.00011
182.25000	0.00269
182.48333	0.04183
182.73333	0.33580
183.01667	0.56357
183.33333	0.39089
183.65000	0.16055
183.98333	0.04070
184.38333	0.01799
184.81667	0.03104
185.33333	0.00655
185.86667	0.03716
186.35000	0.15153
186.76667	0.26493
187.11667	0.41216
187.43333	0.53909
187.70000	0.53925
187.88333	0.45903
188.03333	0.39863
188.16667	0.32582
188.31667	0.35127
188.46667	0.48223
188.63333	0.61528
188.75000	0.61850
188.83333	0.59998
188.91667	0.58999
189.00000	0.61206
