Polarization of Light 'Brewsters' Data File Thu, Mar 14, 2024 10:35 AM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	4.19763
180.00000	4.19296
180.00000	4.19167
180.00000	4.19440
180.00000	4.19408
180.00000	4.19360
180.00000	4.19457
180.00000	4.19473
180.00000	4.19843
180.00000	1.68938
180.00000	0.67665
180.00000	0.35836
180.00000	0.33017
180.00000	0.34547
180.00000	0.60014
180.00000	0.77620
180.00000	0.97304
180.00000	1.18632
180.00000	1.15780
180.00000	1.68019
180.00000	1.68905
180.00000	1.65136
180.00000	1.46902
180.00000	1.42552
180.01667	1.56663
180.01667	1.48883
180.01667	1.45806
180.01667	1.42842
180.01667	1.50993
180.01667	2.67263
180.01667	3.15395
180.03333	3.01187
180.13333	3.17457
180.40000	2.02862
180.53333	1.34853
180.58333	1.11254
180.65000	0.78087
180.71667	0.70726
180.80000	0.68503
180.88333	0.66441
180.96667	0.60723
181.05000	0.49592
181.15000	0.43503
181.23333	0.43664
181.35000	0.65845
181.51667	0.95855
181.65000	1.76412
181.75000	4.16476
181.81667	4.17073
181.88333	4.17411
181.93333	4.17556
181.98333	4.17749
182.05000	4.17846
182.11667	4.17926
182.16667	4.18232
182.23333	4.17765
182.28333	2.94019
182.33333	2.35030
182.40000	1.59128
182.45000	1.07759
182.53333	0.83886
182.61667	0.71725
182.70000	0.64685
182.78333	0.61560
182.86667	0.60819
182.93333	0.61576
182.98333	0.63654
183.05000	0.63171
183.11667	0.61737
183.16667	0.60626
183.21667	0.57727
183.25000	0.54118
183.28333	0.53393
183.31667	0.58387
183.33333	0.59498
183.33333	0.61963
183.33333	0.61705
183.35000	0.63461
183.35000	0.63751
183.35000	0.72772
183.35000	1.07533
183.35000	3.52912
183.35000	4.16750
183.36667	4.16799
183.36667	4.17491
183.36667	4.17540
183.36667	4.17507
183.36667	4.17765
183.36667	4.17830
183.36667	4.17846
183.38333	4.18087
183.38333	4.18168
183.38333	4.18136
183.40000	4.18055
183.40000	4.18361
183.43333	4.18361
183.45000	4.18555
183.46667	4.18571
183.48333	4.18667
183.50000	4.18699
183.51667	4.18522
183.53333	4.18474
183.55000	4.18603
183.68333	4.18587
183.88333	2.76638
183.96667	1.91457
184.03333	1.17005
184.05000	1.21306
184.08333	1.88187
184.10000	1.93181
184.16667	1.96982
184.23333	1.85287
184.31667	3.48176
184.45000	3.98612
184.60000	4.17958
184.75000	4.18248
184.88333	4.18281
185.03333	4.18232
185.16667	4.18361
185.26667	4.18844
185.36667	4.18651
185.45000	4.18329
185.51667	4.18812
185.60000	4.18555
185.68333	4.18861
