Polarization of Light 'theta' Data File Tue, Mar 12, 2024 11:07 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.97726
0.00000	3.99015
0.00000	3.98805
0.00000	3.98112
0.00000	3.98000
0.00000	3.98290
0.00000	3.98209
0.00000	3.98451
0.00000	3.99079
0.00000	3.97935
0.00000	3.97565
0.00000	3.98000
0.00000	3.96872
0.00000	3.97839
0.00000	3.97629
0.00000	3.98161
0.00000	3.98129
0.00000	3.98644
0.00000	3.97855
0.00000	3.98193
0.00000	3.98966
0.00000	3.99288
0.00000	3.99288
0.00000	3.99562
0.00000	3.99933
0.00000	3.99804
0.00000	3.99224
0.00000	3.98628
0.00000	3.98950
0.00000	3.98918
0.00000	3.99385
0.00000	3.98451
0.00000	3.98241
0.00000	3.99176
0.00000	3.99192
0.00000	3.99160
0.00000	3.99337
0.00000	3.99047
0.00000	3.98805
0.00000	3.99530
0.00000	3.99321
0.00000	3.99594
0.00000	3.99546
0.00000	3.98902
0.00000	3.98773
0.00000	3.99917
0.00000	3.99772
0.00000	3.99482
0.00000	3.99884
0.00000	3.99820
0.00000	3.99675
0.00000	4.00497
0.00436	4.02430
0.00873	4.02236
0.03054	4.10194
0.07854	4.25159
0.10908	4.32102
0.15272	4.39109
0.19199	4.42202
0.20944	4.42686
0.23126	4.41445
0.24435	4.40656
0.27489	4.36451
0.31416	4.30024
0.34470	4.21438
0.37088	4.14028
0.40143	4.02961
0.44070	3.87481
0.51487	3.50785
0.58032	3.13832
0.63705	2.77991
0.66759	2.59482
0.66759	2.57598
0.67195	2.56277
0.68504	2.47981
0.70250	2.36673
0.75485	2.06357
0.76794	1.97304
0.81594	1.72385
0.84212	1.51702
0.84648	1.50671
0.90321	1.18326
0.90757	1.17794
0.90757	1.17520
0.90757	1.17681
0.90757	1.17617
0.90757	1.17842
0.90757	1.17617
0.90757	1.17762
0.90757	1.18535
0.90757	1.18519
0.90757	1.17858
0.90757	1.18583
0.90757	1.18245
0.90757	1.17810
0.90757	1.18100
0.90757	1.18261
0.90321	1.18197
0.90321	1.18615
0.90321	1.18793
0.90321	1.18760
0.90321	1.18454
0.90321	1.18696
0.90321	1.18793
0.90321	1.18744
0.90321	1.18583
0.90757	1.17858
0.92066	1.10513
0.94684	0.99286
0.96429	0.90619
0.96429	0.89669
0.99484	0.77266
1.07338	0.47981
1.12574	0.32098
1.22609	0.12736
1.29591	0.04602
1.33518	0.02169
1.36572	0.01332
1.41372	0.01493
1.47044	0.02749
1.48789	0.03442
1.53153	0.05407
1.56207	0.07147
1.57516	0.07260
1.59698	0.08452
1.60570	0.08661
1.63188	0.09579
1.70606	0.12720
1.74533	0.13349
1.83260	0.13316
1.90241	0.11174
1.90677	0.11045
1.94604	0.09837
1.96350	0.08790
1.96350	0.08725
1.97222	0.08274
1.97222	0.08339
1.97222	0.08387
1.97222	0.08339
1.97222	0.08371
1.97222	0.08419
1.97222	0.08371
1.97222	0.08033
1.97222	0.08178
1.97222	0.08258
1.97222	0.08242
1.97222	0.08323
1.97222	0.08661
1.97659	0.08291
1.99404	0.07550
2.06385	0.04602
2.12494	0.02186
2.18166	0.01606
2.22529	0.01880
2.26893	0.03909
2.32129	0.08935
2.36056	0.14283
2.42164	0.26074
2.50018	0.47933
2.52636	0.59740
2.53073	0.59772
2.53073	0.60755
2.53509	0.61802
2.57872	0.77781
2.58309	0.80552
2.60054	0.86931
2.61799	0.95114
2.61799	0.95033
2.64854	1.10722
2.65290	1.12575
2.66599	1.21273
2.67908	1.28248
2.70526	1.40474
2.71835	1.48448
2.72708	1.53731
2.73144	1.56711
2.74017	1.62075
2.74889	1.65603
2.76635	1.76621
2.77071	1.80600
2.78816	1.90539
2.80125	1.97900
2.82743	2.11093
2.84052	2.19775
2.84052	2.20065
2.86234	2.37124
2.88852	2.54988
2.88852	2.55890
2.88852	2.55053
2.88852	2.55391
2.88852	2.55568
2.88852	2.54843
2.88852	2.55181
2.88852	2.55036
2.88852	2.55278
2.88852	2.55117
2.88852	2.55069
2.88852	2.55600
2.88852	2.55971
2.90597	2.64637
2.96706	3.02025
3.10232	3.71936
3.22886	4.23307
