Polarization of Light 'theta' Data File Tue, Mar 12, 2024 10:43 AM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.71533
0.00000	3.70244
0.00000	3.71501
0.00000	3.71275
0.00000	3.70389
0.00000	3.69810
0.00000	3.70937
0.00000	3.71743
0.00000	3.71710
0.00000	3.72129
0.00000	3.71549
0.00436	3.72790
0.02182	3.73515
0.04800	3.72000
0.06981	3.70164
0.09599	3.69214
0.13090	3.66266
0.16144	3.62609
0.19199	3.58034
0.22253	3.53781
0.25307	3.48933
0.28362	3.43714
0.30980	3.37544
0.34034	3.31020
0.36652	3.24706
0.38834	3.17328
0.41015	3.12350
0.43197	3.05923
0.45815	2.98594
0.47124	2.91860
0.50178	2.85095
0.53233	2.74077
0.55851	2.66618
0.58469	2.56084
0.61523	2.44920
0.61959	2.44566
0.61959	2.40764
0.61959	2.40893
0.61959	2.40523
0.61959	2.40974
0.61959	2.39927
0.61959	2.42053
0.61959	2.39621
0.61959	2.41232
0.61959	2.40507
0.61959	2.38799
0.63705	2.33290
0.66759	2.23754
0.71122	2.09112
0.75049	1.92520
0.79412	1.78377
0.83776	1.61721
0.88139	1.45774
0.92066	1.31502
0.96866	1.15201
1.01665	0.99882
1.06465	0.84659
1.11265	0.69711
1.14319	0.60739
1.14319	0.60094
1.14319	0.59966
1.14319	0.60707
1.14319	0.59788
1.14319	0.59192
1.14319	0.60352
1.14319	0.61141
1.14319	0.60594
1.14319	0.60062
1.16064	0.56245
1.21300	0.43954
1.26973	0.30343
1.31336	0.21918
1.35263	0.15362
1.39190	0.10111
1.43553	0.05198
1.47044	0.02137
1.50971	0.00075
1.54898	-0.01262
1.57080	-0.01680
1.58825	-0.01181
1.60134	-0.01133
1.61879	-0.00730
1.62316	-0.00424
1.62316	-0.00279
1.62316	0.00011
1.62316	-0.00408
1.62316	-0.00521
1.62316	-0.00166
1.62316	0.00027
1.61879	-0.00037
1.61879	-0.00472
1.61879	-0.00811
1.62316	-0.00343
1.67552	0.02331
1.71915	0.06825
1.76715	0.12753
1.81951	0.20613
1.86750	0.29441
1.91114	0.39234
1.95041	0.47691
1.97222	0.54473
1.97222	0.54682
2.01586	0.63751
2.04640	0.75091
2.05076	0.76251
2.05076	0.76412
2.05076	0.76573
2.05076	0.76557
2.05076	0.75719
2.04640	0.75123
2.04640	0.74850
2.05076	0.75429
2.07694	0.83210
2.14675	1.06019
2.22529	1.32485
2.28638	1.55616
2.34747	1.77411
2.40419	1.99769
2.46091	2.20532
2.51764	2.42697
2.57872	2.63075
2.63108	2.81825
2.65726	2.90104
2.66163	2.91586
2.66163	2.91152
2.66163	2.91216
2.66163	2.91264
2.66163	2.91876
2.66163	2.91297
2.66163	2.91635
2.66163	2.90314
2.66163	2.90636
2.67035	2.94019
2.73580	3.12592
2.82743	3.34016
2.91034	3.52493
2.98015	3.62818
3.04560	3.70985
3.10669	3.73627
3.16341	3.74417
